,user_id,movie_id,rating,timestamp,date,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
498923,37287,2171847,6,1362062307,2013-02-28 14:38:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
442554,33140,444778,8,1362062624,2013-02-28 14:43:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81920,6338,1411238,6,1362062838,2013-02-28 14:47:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
584570,43691,1496422,7,1362063503,2013-02-28 14:58:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
450669,33799,118799,5,1362063653,2013-02-28 15:00:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
450691,33799,338013,4,1362063879,2013-02-28 15:04:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28143,2602,1003052,8,1362063906,2013-02-28 15:05:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
450612,33799,64665,8,1362064047,2013-02-28 15:07:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
545732,40966,884328,7,1362064104,2013-02-28 15:08:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
259840,19657,1559547,9,1362064189,2013-02-28 15:09:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199048,15228,119167,6,1362064605,2013-02-28 15:16:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108238,8408,949731,5,1362065194,2013-02-28 15:26:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108176,8408,319343,6,1362065226,2013-02-28 15:27:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108246,8408,1068680,7,1362065305,2013-02-28 15:28:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
181657,13969,376994,8,1362065947,2013-02-28 15:39:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
316435,24000,1568338,2,1362066071,2013-02-28 15:41:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
540206,40491,1853728,8,1362066113,2013-02-28 15:41:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188448,14569,1127715,7,1362066197,2013-02-28 15:43:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201475,15357,1790885,8,1362066300,2013-02-28 15:45:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81874,6338,889573,5,1362066533,2013-02-28 15:48:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8552,762,1954843,5,1362066578,2013-02-28 15:49:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
441401,33000,265086,10,1362066989,2013-02-28 15:56:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
441415,33000,1757746,5,1362067038,2013-02-28 15:57:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
425310,31954,338216,6,1362067229,2013-02-28 16:00:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
588615,44031,1371111,6,1362067709,2013-02-28 16:08:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
445208,33367,1648179,6,1362067888,2013-02-28 16:11:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
445230,33367,1853728,9,1362067909,2013-02-28 16:11:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
673919,51137,1351685,8,1362068062,2013-02-28 16:14:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33851,2987,1045658,7,1362068369,2013-02-28 16:19:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83421,6428,99685,8,1362068477,2013-02-28 16:21:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
635691,47939,67989,8,1362068698,2013-02-28 16:24:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207452,15797,1606378,6,1362069124,2013-02-28 16:32:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
