"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Rural population (% of total population)","SP.RUR.TOTL.ZS","49.224","49.239","49.254","49.27","49.285","49.3","49.315","49.33","49.346","49.361","49.376","49.391","49.407","49.422","49.437","49.452","49.468","49.483","49.498","49.513","49.528","49.544","49.559","49.574","49.589","49.605","49.62","49.635","49.65","49.665","49.681","49.696","50.002","50.412","50.823","51.233","51.644","52.054","52.464","52.873","53.283","53.661","54.028","54.394","54.76","55.125","55.489","55.853","56.217","56.579","56.941","57.302","57.636","57.942","58.221","58.472","58.696","58.893",
"Afghanistan","AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","91.779","91.492","91.195","90.89","90.574","90.25","89.915","89.57","89.214","88.848","88.471","88.083","87.684","87.274","86.851","86.417","85.971","85.513","85.042","84.565","84.319","84.07","83.818","83.563","83.304","83.042","82.777","82.509","82.237","81.962","81.684","81.403","81.118","80.83","80.538","80.243","79.945","79.644","79.339","79.03","78.718","78.404","78.085","77.763","77.438","77.105","76.763","76.413","76.054","75.687","75.311","74.926","74.532","74.129","73.718","73.297","72.868","72.43",
"Angola","AGO","Rural population (% of total population)","SP.RUR.TOTL.ZS","89.565","89.202","88.796","88.376","87.942","87.496","87.035","86.559","86.068","85.564","85.043","84.566","84.125","83.676","83.215","82.745","82.263","81.772","81.27","80.758","80.234","79.701","79.157","78.602","78.035","77.459","76.872","76.275","75.666","75.048","74.418","73.779","73.128","72.47","71.8","71.12","70.43","69.732","69.025","68.308","67.581","66.848","66.105","65.355","64.595","63.831","63.058","62.278","61.491","60.701","59.903","59.1","58.301","57.51","56.726","55.95","55.181","54.422",
"Albania","ALB","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.295","69.057","68.985","68.914","68.842","68.77","68.698","68.626","68.554","68.452","68.26","68.067","67.873","67.679","67.484","67.288","67.092","66.895","66.698","66.5","66.238","65.976","65.713","65.448","65.183","64.917","64.65","64.381","64.112","63.842","63.572","63.3","62.751","62.201","61.646","61.089","60.527","59.965","59.399","58.831","58.259","57.565","56.499","55.427","54.349","53.269","52.185","51.098","50.009","48.924","47.837","46.753","45.67","44.617","43.591","42.593","41.624","40.684",
"Andorra","AND","Rural population (% of total population)","SP.RUR.TOTL.ZS","41.55","39.017","36.538","34.128","31.795","29.555","27.407","25.359","23.412","21.576","19.845","18.22","16.699","15.284","13.968","12.748","11.618","10.58","9.622","8.743","7.93600000000001","7.2","6.526","5.911","5.351","4.84099999999999","4.675","4.822","4.973","5.128","5.288","5.47","5.676","5.889","6.11","6.339","6.575","6.81999999999999","7.07299999999999","7.334","7.605","7.944","8.35899999999999","8.79300000000001","9.249","9.705","10.162","10.637","11.133","11.648","12.183","12.74","13.292","13.835","14.367","14.885","15.388","15.873",
"Arab World","ARB","Rural population (% of total population)","SP.RUR.TOTL.ZS","68.7080259489438","67.9655795464518","67.219820401638","66.4509596779045","65.6529640544118","64.813430428756","64.0164698825905","63.330975522168","62.6338164200751","61.9267725112699","61.2067075846122","60.4994606050061","59.7694031561536","59.0493978781337","58.4032831964468","57.8001220995549","57.2346676653567","56.7186391098259","56.2167115975255","55.7146927387959","55.1834118440946","54.6283783495423","54.0652969740215","53.4699296716967","52.833492544921","52.2226190942458","51.621277140871","51.0878985021993","50.6341109130518","50.2285249334738","49.6819887841947","49.2996003641955","49.3092480160596","48.9437816777014","48.6889940269548","48.1998300392349","48.0229193805594","47.807020720947","47.5572539040495","47.2960859768972","47.0315222273868","46.7670233323604","46.4992692397397","46.2225640945206","45.9270381567848","45.5983119081683","45.2441814239115","44.8832953951165","44.5188821390714","44.1567688882785","43.8045300821796","43.4634880632743","43.1286493068936","42.8037309903515","42.4912603659871","42.1917897852038","41.9060714489403","41.6319671533594",
"United Arab Emirates","ARE","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.5","25.617","24.752","23.907","23.081","22.277","21.492","20.728","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.097","19.894","19.691","19.49","19.29","19.317","19.534","19.753","19.974","20.196","20.376","20.518","20.661","20.804","20.949","21.094","21.24","21.386","21.533","21.681","21.507","21.062","20.622","20.19","19.764","19.345","18.933","18.528","18.129","17.738","17.352","16.981","16.623","16.277","15.945","15.625","15.316","15.019","14.734","14.459","14.196","13.942",
"Argentina","ARG","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.389","25.783","25.233","24.691","24.156","23.631","23.112","22.602","22.099","21.606","21.12","20.679","20.257","19.842","19.433","19.031","18.634","18.245","17.861","17.484","17.113","16.687","16.241","15.806","15.379","14.962","14.555","14.157","13.767","13.387","13.016","12.672","12.458","12.248","12.04","11.836","11.634","11.436","11.241","11.048","10.858","10.671","10.481","10.29","10.101","9.916","9.73399999999999","9.55500000000001","9.378","9.205","9.03400000000001","8.867","8.705","8.548","8.396","8.249","8.107","7.97",
"Armenia","ARM","Rural population (% of total population)","SP.RUR.TOTL.ZS","48.725","47.853","46.981","46.111","45.242","44.378","43.517","42.659","41.805","40.958","40.136","39.343","38.555","37.775","37","36.389","35.781","35.179","34.581","34.161","33.95","33.741","33.533","33.325","33.117","32.91","32.704","32.499","32.294","32.31","32.579","32.85","33.122","33.394","33.668","33.943","34.219","34.496","34.774","35.053","35.334","35.615","35.717","35.75","35.783","35.816","35.85","35.883","36.003","36.211","36.42","36.629","36.839","37.025","37.188","37.327","37.442","37.533",
"American Samoa","ASM","Rural population (% of total population)","SP.RUR.TOTL.ZS","33.789","33.359","32.932","32.507","32.084","31.666","31.25","30.837","30.426","30.02","29.616","29.216","28.818","28.424","28.033","27.646","27.261","26.88","26.503","26.129","25.67","24.957","24.257","23.571","22.897","22.238","21.592","20.96","20.341","19.737","19.052","18.114","17.211","16.346","15.515","14.72","13.957","13.229","12.533","11.869","11.413","11.509","11.606","11.703","11.802","11.9","12","12.1","12.201","12.303","12.406","12.5","12.587","12.666","12.736","12.798","12.852","12.897",
"Antigua and Barbuda","ATG","Rural population (% of total population)","SP.RUR.TOTL.ZS","60.344","60.96","61.573","62.183","62.789","63.39","63.988","64.582","65.171","65.755","66.181","66.102","66.022","65.943","65.863","65.783","65.703","65.623","65.543","65.462","65.382","65.302","65.221","65.14","65.06","64.979","64.898","64.817","64.736","64.655","64.574","64.535","64.915","65.291","65.666","66.039","66.41","66.779","67.145","67.51","67.873","68.26","68.901","69.535","70.163","70.781","71.393","71.997","72.594","73.181","73.761","74.333","74.865","75.357","75.81","76.227","76.607","76.953",
"Australia","AUS","Rural population (% of total population)","SP.RUR.TOTL.ZS","18.471","18.059","17.663","17.273","16.89","16.515","16.145","15.783","15.427","15.078","14.735","14.4","14.319","14.239","14.159","14.079","14","14.06","14.119","14.179","14.24","14.3","14.36","14.42","14.48","14.54","14.6","14.6","14.6","14.6","14.6","14.6","14.434","14.252","14.072","13.894","13.717","13.496","13.273","13.053","12.835","12.622","12.459","12.305","12.151","12","11.85","11.702","11.555","11.41","11.267","11.125","10.985","10.847","10.711","10.577","10.446","10.317",
"Austria","AUT","Rural population (% of total population)","SP.RUR.TOTL.ZS","35.28","35.186","35.137","35.087","35.038","34.989","34.939","34.89","34.841","34.792","34.742","34.699","34.689","34.679","34.669","34.659","34.649","34.639","34.629","34.619","34.609","34.595","34.554","34.514","34.474","34.434","34.394","34.354","34.314","34.275","34.235","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.199","34.194","34.188","34.182","34.176","34.171","34.165","34.159","34.153","34.148","34.142","34.136","34.116","34.081","34.032","33.968","33.89",
"Azerbaijan","AZE","Rural population (% of total population)","SP.RUR.TOTL.ZS","47.337","47.636","47.936","48.236","48.536","48.836","49.136","49.436","49.737","50.037","49.992","49.538","49.083","48.629","48.302","48.103","47.904","47.706","47.508","47.345","47.223","47.103","46.982","46.861","46.701","46.502","46.303","46.105","45.906","45.943","46.251","46.559","46.868","47.176","47.485","47.794","48.104","48.412","48.722","48.815","48.614","48.413","48.213","48.012","47.811","47.611","47.411","47.21","47.01","46.81","46.599","46.377","46.144","45.9","45.645","45.38","45.105","44.819",
"Burundi","BDI","Rural population (% of total population)","SP.RUR.TOTL.ZS","97.923","97.885","97.846","97.807","97.767","97.706","97.605","97.499","97.389","97.274","97.155","97.03","96.899","96.764","96.623","96.475","96.322","96.162","95.995","95.822","95.661","95.497","95.326","95.15","94.967","94.779","94.583","94.38","94.17","93.953","93.729","93.545","93.363","93.177","92.986","92.789","92.588","92.382","92.17","91.964","91.754","91.539","91.318","91.092","90.861","90.625","90.383","90.136","89.882","89.624","89.359","89.088","88.811","88.528","88.239","87.943","87.641","87.333",
"Belgium","BEL","Rural population (% of total population)","SP.RUR.TOTL.ZS","7.54000000000001","7.446","7.321","7.16500000000001","7.012","6.863","6.71599999999999","6.572","6.431","6.29300000000001","6.157","6.024","5.89400000000001","5.767","5.642","5.52","5.40000000000001","5.194","4.995","4.804","4.619","4.465","4.363","4.26300000000001","4.16500000000001","4.06999999999999","3.977","3.88500000000001","3.79600000000001","3.708","3.623","3.539","3.458","3.378","3.3","3.223","3.149","3.07599999999999","3.004","2.935","2.872","2.816","2.761","2.708","2.655","2.60299999999999","2.55200000000001","2.503","2.45399999999999","2.40600000000001","2.35899999999999","2.313","2.268","2.224","2.182","2.142","2.10299999999999","2.066",
"Benin","BEN","Rural population (% of total population)","SP.RUR.TOTL.ZS","90.725","90.144","89.53","88.882","88.199","87.481","86.725","85.931","85.097","84.224","83.309","82.353","81.352","80.311","79.225","78.096","76.921","75.707","74.448","73.324","72.661","71.99","71.308","70.616","69.914","69.204","68.483","67.754","67.015","66.27","65.515","64.753","64.173","63.864","63.553","63.242","62.929","62.615","62.301","61.985","61.667","61.35","61.031","60.703","60.365","60.018","59.662","59.297","58.922","58.539","58.146","57.744","57.333","56.914","56.486","56.05","55.605","55.153",
"Burkina Faso","BFA","Rural population (% of total population)","SP.RUR.TOTL.ZS","95.3","95.204","95.107","95.007","94.905","94.802","94.697","94.589","94.48","94.368","94.254","94.139","94.02","93.9","93.778","93.653","93.332","92.849","92.332","91.782","91.195","90.572","89.909","89.204","88.456","87.666","87.168","86.928","86.684","86.437","86.185","85.93","85.67","85.407","85.14","84.869","84.593","84.125","83.49","82.834","82.156","81.46","80.742","80.004","79.243","78.463","77.661","76.837","76.007","75.172","74.335","73.495","72.654","71.814","70.976","70.141","69.312","68.489",
