"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.4453506469727","88.7808456420898","89.1158294677734","89.44775390625","89.7735595703125","90.0901870727539","90.3945846557617","90.6836776733398","90.9544219970703","91.2037506103516","91.6603980031457","91.6380920410156","91.8337173461914","92.0230484008789","92.2121658325195","92.4071197509765","92.6139831542969","92.8388214111328","93.086166381836","93.3545455932617","93.3562921509542","93.9423751831055","94.2558135986328","94.5782623291016","94.9067230224609","95.2381820678711","95.5701446533203","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.0219771377742291","0.179634585976601","0.959755897521973","0.77653694152832","6.26739358901977","11.7519664764404","17.2363185882568","23","28.2286128997803","33.7486801147461","42.4","44.8548851013184","42.7","43.2220189082037","69.1","67.2595520019531","89.5","71.5","84.1371383666992","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3978080749512","12.5793790817261","13.7604398727417","14.9384412765503","16.1103248596191","17.2730312347412","18.4235019683838","19.5586757659912","20.6754951477051","21.7709007263184","22.843355178833","20","24.939094543457","25.9745082855225","27.0097007751465","28.0507354736328","29.1036758422852","37.5","31.2680130004883","32.3824691772461","33.514949798584","34.6","35.821964263916","36.9904899597168","32","42","40.5206069946289","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3842390444175","74.3822200880162","74.3131602867208","75.3493248355472","75.7885216921504","76.214137971973","77.2051498724772","77.5737299371645","78.3955110511858","78.9655316665757","78.7623297831137","80.1492565068256","80.3599784304367","81.3547876429119","82.6624023433797","83.6875762079726","85.8002961272357","84.7357232408233","85.4328268149662","85.1898151220048","86.1361336464124","86.782683284186","87.2882439402148","88.389705147648","88.0767741380158","88.5179673938546","88.7686540243445","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.6408233642578","91.1236724853516","91.6060180664063","92.0853042602539","92.5584716796875","93.0224609375","93.4742126464844","93.9106750488281","94.3287734985352","94.7254638671875","95.0992050170898","95.5110634674458","95.7975082397461","96.1342086791992","96.4706802368164","96.8129959106445","97.1672210693359","97.5394134521484","97.9341278076172","98.3633651733398","98.82","99.2161636352539","99.5844116210938","99.8371276855469","99.9592437744141","99.9952087402344","100","",
"Armenia","ARM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.6803741455078","97.8535919189453","98.0238952636719","98.1913452148438","98.3526000976562","98.5046539306641","98.6444702148438","98.7690277099609","98.8755035400391","98.9620666503906","98.9","100","98","99.1483154296875","99.1796951293945","99.8","99.2657318115234","99.3310394287109","99.4156494140625","99.5198135375976","99.8","99.7671508789062","99.8788757324219","99.9540557861328","99.9889755249023","100","100","",
"American Samoa","ASM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.1231994628906","85.6551055908203","86.1865005493164","86.7148361206055","87.2370529174805","87.7500915527344","88.2508926391602","88.7364044189453","89.2035522460938","89.6492919921875","90.0720825195313","90.4764556884765","90.8684844970703","91.2542343139648","91.639762878418","92.2","92.4344024658203","92.8556442260742","93.2994079589844","93.7641983032227","94.2470092773438","94.5520140336941","95.2546920776367","95.773551940918","96.2984161376953","96.8262939453125","97.3546676635742","",
"Australia","AUS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.870231628418","96.1637268066406","96.4567184448242","96.7466430664063","97.0304565429688","97.3050918579102","97.5674896240234","97.8145904541016","98.0276184082031","97","98.9082224496759","98.5917816162109","100","98.9018249511719","99.0534973144531","99.2109756469727","99.5","99.562141418457","99.7418060302734","99.8847351074219","99.9656753540039","99.9","99.9997100830078","100","100","100","100","",
"Burundi","BDI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.348627060651779","0.688546001911163","1.02795505523682","1.36430513858795","1.69453692436218","2.01559138298035","2.32440948486328","2.61793184280396","3.9","3.14685392379761","3.37765550613403","3.59004735946655","3.79009222984314","3.9838535785675","4.1773943901062","3.20731707317073","4.58806562423706","4.81732225418091","4.8","5.3419041633606","5.3","5.93858003616333","6.5","6.58331918716431","7","7.25208950042725","7.58847713470459","",
"Belgium","BEL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
