"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330167597.76536","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722798882.68156","1873452513.96648","1920262569.8324","1941094972.06704","2021301675.97765","2228279329.60894","2331005586.59218","2421474860.3352","2623726256.98324","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","","","","","","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","2461665937.89386","4128820723.04713","4583644246.48061","5285465685.86423","6275073571.54659","7057598406.61553","9843842455.48323","10190529882.4878","12486943505.7381","15936800636.2487","17930239399.8149","20536542736.7297","20264253973.7858","20616104298.4975","19215562179.0117","19469022207.6852","20815300220.0428",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5934073603.54849","5553824463.82274","5553824463.82274","5787823808.69565","6135166254.2408","7558613007.90635","7076793822.60201","8089279284.72241","8775116269.16722","10207922517.1839","11236275842.7358","","","","3390500000","5561222222.22222","6537503912.36307","7676533742.33129","6506619144.60285","6152936539.21955","9129634978.33773","8936063723.20121","12497347956.1316","14188949398.3752","19640853733.598","28233712737.97","41789479931.7142","60448924661.7935","84178035578.8223","75492385928.3332","82526143645.0623","104115807985.965","113923162050.111","124912503781.148","126730196125.425","102621215573.456","95337203468.1156","124209385825.22",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1924242453.00929","1965384586.24229","2173750012.5","2156624900","2126000000","2335124987.5","2101624962.5","1139166645.83333","709452583.880319","1228071037.84446","1985673798.10258","2424499009.14264","3314898291.75235","2359903108.38446","2707123772.16195","3414760915.27878","3632043907.97733","4060758804.12084","4435078647.74817","5746945912.58082","7314865175.6199","8158548716.68554","8992642348.7871","10701011896.7708","12881352687.7773","12044212903.8168","11926953258.916","12890867538.5302","12319784787.2987","12776277515.48","13228244357.1813","11386931489.7968","11883682170.8236","13039352743.9616",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78619206.0850963","89409820.3592814","113408231.944085","150820102.798401","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1434429703.33518","1496912751.67785","1733116883.11688","2398645598.19413","2935659299.72684","3255789080.96008","3543256805.92147","4016972351.49192","4007353156.58415","3660530702.97305","3355695364.23841","3442062830.13622","3164615186.94591","3281585236.32501","3350736367.25488","2811489408.89431","2877311946.90265","3012914131.16971",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","25760683040.912","28434203615.2913","31385499663.8557","36426909888.1476","43316056615.1643","55018394945.212","105145803083.668","116337021937.558","144846175399.512","167308327682.466","183555544340.953","248646206365.328","338177454715.262","348592795410.768","324328753763.116","303962539721.032","307940771856.468","303893618413.495","289029150637.496","312681678327.827","307503035640.445","322325140492.555","446877161732.15","439779177862.373","471163515476.598","476513630617.519","487526906264.115","523759898275.054","578231297753.521","613279452458.936","591525594004.256","643889670868.86","735025140321.567","723282816386.413","729051715398.536","823110541434.921","963862340514.09","1184661549862.35","1404113530791.23","1637573196525.36","2078115659876.48","1795819607113.11","2109550811385.89","2501304511876.72","2786139307967.37","2866038091981.47","2906918403546.86","2554479933648.44","2500164034395.78","2591047461124.42",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617018379.85","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787338325.391","350666031313.819","374590605854.323","390107556160.654","403137100068.073","358135057862.492","357045064669.843","382575085091.899",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","16646599770","27786400318","47289600372","65193099976","48505749702.5","51169498443.6","56780999755.86","58082870733.541","69252330274.1362","76961921890.6573","78676840049.3421","84307484567.9012","103979107312.441","79092000000","88416666666.6667","110934444444.444","111106190476.19","126206818181.818","76636898126.1883","141352368724.031","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","554860945013.62","637590419269.324",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838857.60997","2069870129.87013","1272835453.42634","1201312829.27524","1315158636.67553","1468317435.20148","1596968946.23708","1639492444.76152","1893726437.26462","1845482173.02732","1911563668.85006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469950.09033","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79782","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7543","10553337672.9872","10546135160.031","11536590635.8268",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514000000","527000000","512000000","503000000","496000000","520000000","563000000","678000000","576000000","574000000","644000000","641000000","643000000","659000000","658000000","",
