_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,category,category:confidence,category_gold,id,screenname,text
662822308,FALSE,finalized,3,2/18/15 4:31,Information,1,,4.36528E+17,Barclays,Barclays CEO stresses the importance of regulatory and cultural reform in financial services at Brussels conference  http://t.co/Ge9Lp7hpyG
662822309,FALSE,finalized,3,2/18/15 13:55,Information,1,,3.86013E+17,Barclays,Barclays announces result of Rights Issue http://t.co/LbIqqh3wwG
662822310,FALSE,finalized,3,2/18/15 8:43,Information,1,,3.7958E+17,Barclays,Barclays publishes its prospectus for its Â£5.8bn Rights Issue: http://t.co/YZk24iE8G6
662822311,FALSE,finalized,3,2/18/15 9:13,Information,1,,3.6753E+17,Barclays,Barclays Group Finance Director Chris Lucas is to step down at the end of the week due to ill health http://t.co/nkuHoAfnSD
662822312,FALSE,finalized,3,2/18/15 6:48,Information,1,,3.60385E+17,Barclays,Barclays announces that Irene McDermott Brown has been appointed as Group Human Resources Director http://t.co/c3fNGY6NMT
662822313,FALSE,finalized,3,2/18/15 8:51,Information,1,,3.47602E+17,Barclays,Barclays response to PRA capital shortfall exercise: http://t.co/LwsUQVFaMz
662822314,FALSE,finalized,3,2/18/15 12:25,Information,1,,3.42316E+17,Barclays,"Barclays sponsors #Zamynforum BBC World Service debate on globalisation, part of a series of citizenship lectures - http://t.co/5Mqcj0LIRg"
662822315,FALSE,finalized,3,2/18/15 9:39,Information,1,,3.27332E+17,Barclays,"Barclays has today published its response to The Salz Review, the independent report into our business practices: http://t.co/QIrl6TuAtf"
662822316,FALSE,finalized,3,2/18/15 6:45,Action,0.6747,,2.97302E+17,Barclays,Read statement on #Barclays CEO bonus award 2012: http://t.co/ALu82p51
662822409,FALSE,finalized,3,2/18/15 12:32,Action,1,,4.5683E+17,barclayswealth,"59% of workers are either looking to change jobs or have applied, the highest figures recorded yet. More in our video http://t.co/JbZ2Sx8JLT"
662822411,FALSE,finalized,3,2/18/15 11:31,Action,1,,4.55753E+17,barclayswealth,You no longer have one workforce. You have five. Want the employee benefits plan to match? Our video tells you how. http://t.co/Mxydes7LHG
