"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Rural population","SP.RUR.TOTL","26685","27297","27693","27934","28108","28278","28462","28639","28811","28988","29163","29358","29565","29773","29923","29996","29971","29871","29750","29698","29764","30007","30402","30836","31160","31264","31084","30691","30326","30312","30876","32115","34119","36551","38981","41152","42968","44481","45789","47060","48409","49850","51322","52771","54068","55142","55951","56534","56978","57401","57891","58478","59121","59789","60430","61010","61526","",
"Afghanistan","AFG","Rural population","SP.RUR.TOTL","8256761","8386856","8522964","8665411","8814083","8969419","9128468","9290765","9460561","9643942","9843392","10057163","10278266","10497161","10701382","10880147","11038933","11174444","11257634","11252807","11170893","10974459","10686497","10352845","10035729","9784880","9602994","9490813","9490880","9653164","10005566","10577227","11341295","12201369","13025184","13721185","14248505","14639845","14966508","15334725","15817403","16438546","17163023","17935920","18677255","19330839","19876589","20338689","20758202","21195638","21691953","22259465","22879057","23522383","24148557","24727838","25253157","",
"Angola","AGO","Rural population","SP.RUR.TOTL","5054316","5131812","5208828","5285253","5358588","5427638","5491708","5552756","5614896","5683702","5762838","5858114","5968529","6089906","6219770","6356867","6499597","6648872","6807295","6978720","7164816","7367965","7584947","7806406","8019907","8217658","8395220","8556734","8712159","8876105","9057743","9261807","9483491","9713686","9938054","10148109","10340733","10521848","10701855","10894966","11110941","11352974","11616400","11896812","12186309","12480583","12777064","13076940","13380085","13687801","13998811","14313172","14631306","14951645","15270904","15587281","15899557","",
"Albania","ALB","Rural population","SP.RUR.TOTL","1114818","1146208","1180553","1214693","1248887","1282417","1315273","1348911","1386348","1424962","1457678","1489206","1522477","1554419","1585958","1618163","1649474","1681437","1711648","1740858","1769877","1798543","1829633","1861315","1893194","1924635","1954134","1985256","2014614","2060783","2089320","2067878","2037549","2007405","1977318","1947385","1917515","1887867","1858316","1828925","1799636","1761589","1723790","1684768","1645111","1604189","1561661","1517619","1473922","1432259","1393502","1358266","1324613","1291703","1259389","1226978","1197148","",
"Andorra","AND","Rural population","SP.RUR.TOTL","5572","5609","5616","5601","5554","5482","5385","5264","5125","4975","4818","4657","4491","4315","4123","3914","3692","3467","3246","3044","2862","2700","2553","2416","2285","2159","2175","2337","2508","2690","2882","3100","3342","3591","3830","4047","4232","4387","4537","4721","4973","5350","5855","6435","7052","7654","8230","8795","9336","9838","10288","10670","10957","11177","11382","11612","11892","",
"Arab World","ARB","Rural population","SP.RUR.TOTL","63548693","64597544","65661863","66724124","67780054","68815652","69925569","71188406","72454903","73703104","74916014","76112810","77263535","78455046","79835396","81407598","83180504","85153422","87239187","89362180","91433113","93442906","95419889","97318389","99121314","100951702","102774744","104700839","106759376","108889113","111653038","113798203","115895066","118094538","120474065","122923868","125264646","127441601","129467561","131465557","133490518","135554384","137650192","139792991","141988963","144211375","146488561","148857152","151286508","153729623","156167052","158596475","161002266","163382734","165734200","168051992","170328354","",
"United Arab Emirates","ARE","Rural population","SP.RUR.TOTL","24548","25893","27839","30019","31974","33496","34491","35296","37005","41172","47571","56319","67218","80229","95216","111973","130016","148830","167819","185553","201076","216524","232366","247517","263353","280937","299979","320228","342115","365327","389688","415557","443202","472076","501436","530929","552949","568676","585282","603310","623539","643421","664024","693305","741101","812323","909597","1026343","1146036","1247859","1318761","1355074","1363193","1352651","1336502","1323621","1315914","",
"Argentina","ARG","Rural population","SP.RUR.TOTL","5441168","5402332","5371521","5338649","5303191","5265788","5225334","5183137","5140510","5100310","5063110","5038736","5020282","5002840","4983497","4960806","4933753","4903994","4872077","4840364","4809761","4763031","4708913","4655616","4601536","4546770","4491272","4434889","4377289","4319123","4260103","4206333","4192759","4177905","4160797","4141986","4120726","4097973","4073917","4048879","4023698","3998585","3971185","3942035","3911986","3881667","3850662","3819155","3787060","3755585","3724166","3693715","3664521","3636313","3608728","3581531","3554711","",
"Armenia","ARM","Rural population","SP.RUR.TOTL","913165","929062","944095","957991","970440","981338","990460","997847","1003797","1008765","1013460","1018081","1021894","1024753","1026286","1030812","1033920","1035803","1036535","1041605","1052365","1062198","1070939","1079261","1088090","1097856","1109403","1121847","1131792","1142633","1152699","1151475","1140328","1123073","1105543","1092062","1084131","1080789","1081014","1082793","1084608","1086491","1083617","1078866","1073709","1067768","1060622","1052468","1047046","1045985","1047917","1053297","1061671","1071322","1080765","1088810","1095110","",
"American Samoa","ASM","Rural population","SP.RUR.TOTL","6762","6834","6954","7113","7282","7448","7600","7745","7876","7990","8083","8156","8211","8247","8266","8275","8266","8249","8243","8276","8332","8359","8426","8523","8629","8726","8818","8898","8960","8999","8962","8763","8535","8291","8037","7782","7527","7268","7006","6738","6565","6695","6816","6918","6994","7035","7038","7006","6958","6918","6902","6915","6952","7005","7060","7108","7146","",
"Antigua and Barbuda","ATG","Rural population","SP.RUR.TOTL","33394","34225","35185","36249","37375","38529","39710","40919","42136","43339","44406","45074","45671","46204","46682","47107","47493","47823","48059","48133","48018","47714","47251","46666","46014","45344","44656","43975","43411","43078","43068","43437","44419","45663","47095","48617","50225","51913","53616","55244","56731","58060","59438","60699","61924","63174","64469","65792","67133","68484","69823","71151","72452","73717","74957","76168","77345","",
"Australia","AUS","Rural population","SP.RUR.TOTL","1898168","1893125","1897359","1891393","1886106","1880728","1881054","1862236","1852628","1849015","1842906","1862928","1886815","1905178","1943040","1955995","1964620","1995395","2027206","2057940","2092141","2134561","2179561","2216210","2250771","2291213","2338686","2374529","2413701","2454902","2491505","2523464","2525228","2517901","2512556","2510924","2511720","2499054","2483511","2470411","2458288","2450309","2448368","2448129","2445680","2447376","2452701","2437246","2455345","2475023","2482317","2485328","2498261","2510636","2517528","2522697","2529061","",
"Austria","AUT","Rural population","SP.RUR.TOTL","2486372","2493385","2505220","2517777","2531075","2544011","2558257","2573835","2583601","2588892","2594215","2602592","2617008","2630789","2634510","2626772","2621379","2621628","2618751","2613535","2612783","2618395","2617168","2609918","2606729","2604927","2603555","2602173","2602826","2611607","2628512","2652173","2681522","2703726","2714152","2718311","2721984","2725070","2728062","2733375","2739956","2750384","2763544","2776552","2793341","2811943","2825477","2834153","2842540","2849495","2855935","2865075","2877662","2892824","2911054","2938040","2965906","",
