"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","","",
"Afghanistan","AFG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","13500","","",
"Angola","AGO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609760","608512","607264","606016","604768","603520","602272","601024","599776","598528","597280","596032","594784","593536","592288","591040","589792","588544","587296","586048","584800","583552","582304","581056","579808","578560","","",
"Albania","ALB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7888","7868.5","7849","7829.5","7810","7790.5","7771","7751.5","7732","7712.5","7693","7719.2","7745.4","7771.6","7797.8","7824","7811.8","7799.6","7787.4","7775.2","7763","7753.4","7743.8","7734.2","7724.6","7715","","",
"Andorra","AND","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","","",
"Arab World","ARB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","501941.6","499629","497316.4","495003.8","492691.2","490378.6","488066","485753.4","483440.8","481128.3","478815.6","477188.3","475560.8","473933.4","472305.9","470678.6","469645.3","468612.2","467578.9","466545.8","465512.6","391507","389071.4","386635.8","384200.2","381764.6","","",
"United Arab Emirates","ARE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2450","2515","2580","2645","2710","2775","2840","2905","2970","3035","3100","3104","3108","3112","3116","3120","3130.6","3141.2","3151.8","3162.4","3173","3183.6","3194.2","3204.8","3215.4","3226","","",
"Argentina","ARG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347930","344997","342064","339131","336198","333265","330332","327399","324466","321533","318600","315252","311904","308556","305208","301860","298680","295500","292320","289140","285960","282992","280024","277056","274088","271120","","",
"Armenia","ARM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3350","3346","3346","3344","3342","3340","3338","3336","3334","3332","3330","3328","3326","3324","3322","3320","3318","3316","3314","3312","3310","3312","3314","3316","3318","3320","","",
"American Samoa","ASM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.9","183.5","183.2","182.9","182.5","182.2","181.9","181.5","181.2","180.8","180.5","180.2","179.8","179.5","179.1","178.8","178.5","178.1","177.8","177.5","177.1","176.8","176.4","176.1","175.8","175.4","","",
